site,site_dir,somsc_summary,biomass_summary,n2o_summary,somsc_result,biomass_result,n2o_result,n2o_summary_plot_count,n2o_year_summary_plot_count,biomass_livec_plot_count,somsc_spinup_png,somsc_spinup_png_exists,somsc_exp_png,somsc_exp_png_exists,somsc_scatter_png,somsc_scatter_png_exists,biomass_scatter_png,biomass_scatter_png_exists,n2o_scatter_png,n2o_scatter_png_exists
Locke_2012,assets/Locke_2012,assets/Locke_2012/somsc_check/somsc_check_summary.txt,assets/Locke_2012/biomass_check/biomass_check_summary.txt,assets/Locke_2012/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,6,0,8,assets/Locke_2012/somsc_check/somsc_timeseries_spinup.png,True,assets/Locke_2012/somsc_check/somsc_timeseries_exp.png,True,assets/Locke_2012/somsc_check/observed_vs_modeled_somsc.png,True,assets/Locke_2012/biomass_check/observed_vs_modeled_biomass.png,False,assets/Locke_2012/n2o_check/observed_vs_modeled_n2o.png,False
Lv_2021,assets/Lv_2021,assets/Lv_2021/somsc_check/somsc_check_summary.txt,assets/Lv_2021/biomass_check/biomass_check_summary.txt,assets/Lv_2021/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: OK for Calibration - All points have simulated >= observed (no shortfalls).,5,5,7,assets/Lv_2021/somsc_check/somsc_timeseries_spinup.png,True,assets/Lv_2021/somsc_check/somsc_timeseries_exp.png,True,assets/Lv_2021/somsc_check/observed_vs_modeled_somsc.png,False,assets/Lv_2021/biomass_check/observed_vs_modeled_biomass.png,False,assets/Lv_2021/n2o_check/observed_vs_modeled_n2o.png,True
Ma_2021,assets/Ma_2021,assets/Ma_2021/somsc_check/somsc_check_summary.txt,assets/Ma_2021/biomass_check/biomass_check_summary.txt,assets/Ma_2021/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: OK for Calibration - All points have simulated >= observed (no shortfalls).,5,5,7,assets/Ma_2021/somsc_check/somsc_timeseries_spinup.png,True,assets/Ma_2021/somsc_check/somsc_timeseries_exp.png,True,assets/Ma_2021/somsc_check/observed_vs_modeled_somsc.png,False,assets/Ma_2021/biomass_check/observed_vs_modeled_biomass.png,True,assets/Ma_2021/n2o_check/observed_vs_modeled_n2o.png,True
Manna_2013,assets/Manna_2013,assets/Manna_2013/somsc_check/somsc_check_summary.txt,assets/Manna_2013/biomass_check/biomass_check_summary.txt,assets/Manna_2013/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,0,7,assets/Manna_2013/somsc_check/somsc_timeseries_spinup.png,True,assets/Manna_2013/somsc_check/somsc_timeseries_exp.png,True,assets/Manna_2013/somsc_check/observed_vs_modeled_somsc.png,True,assets/Manna_2013/biomass_check/observed_vs_modeled_biomass.png,False,assets/Manna_2013/n2o_check/observed_vs_modeled_n2o.png,False
Meena_2015,assets/Meena_2015,assets/Meena_2015/somsc_check/somsc_check_summary.txt,assets/Meena_2015/biomass_check/biomass_check_summary.txt,assets/Meena_2015/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,16,18,assets/Meena_2015/somsc_check/somsc_timeseries_spinup.png,True,assets/Meena_2015/somsc_check/somsc_timeseries_exp.png,True,assets/Meena_2015/somsc_check/observed_vs_modeled_somsc.png,True,assets/Meena_2015/biomass_check/observed_vs_modeled_biomass.png,False,assets/Meena_2015/n2o_check/observed_vs_modeled_n2o.png,False
Meena_2023,assets/Meena_2023,assets/Meena_2023/somsc_check/somsc_check_summary.txt,assets/Meena_2023/biomass_check/biomass_check_summary.txt,assets/Meena_2023/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,,0,0,7,assets/Meena_2023/somsc_check/somsc_timeseries_spinup.png,True,assets/Meena_2023/somsc_check/somsc_timeseries_exp.png,True,assets/Meena_2023/somsc_check/observed_vs_modeled_somsc.png,False,assets/Meena_2023/biomass_check/observed_vs_modeled_biomass.png,False,assets/Meena_2023/n2o_check/observed_vs_modeled_n2o.png,False
Meena_2024,assets/Meena_2024,assets/Meena_2024/somsc_check/somsc_check_summary.txt,assets/Meena_2024/biomass_check/biomass_check_summary.txt,assets/Meena_2024/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,0,7,assets/Meena_2024/somsc_check/somsc_timeseries_spinup.png,True,assets/Meena_2024/somsc_check/somsc_timeseries_exp.png,True,assets/Meena_2024/somsc_check/observed_vs_modeled_somsc.png,False,assets/Meena_2024/biomass_check/observed_vs_modeled_biomass.png,False,assets/Meena_2024/n2o_check/observed_vs_modeled_n2o.png,False
Moharana_2017,assets/Moharana_2017,assets/Moharana_2017/somsc_check/somsc_check_summary.txt,assets/Moharana_2017/biomass_check/biomass_check_summary.txt,assets/Moharana_2017/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,5,7,assets/Moharana_2017/somsc_check/somsc_timeseries_spinup.png,True,assets/Moharana_2017/somsc_check/somsc_timeseries_exp.png,True,assets/Moharana_2017/somsc_check/observed_vs_modeled_somsc.png,False,assets/Moharana_2017/biomass_check/observed_vs_modeled_biomass.png,False,assets/Moharana_2017/n2o_check/observed_vs_modeled_n2o.png,False
Monsefi_2014,assets/Monsefi_2014,assets/Monsefi_2014/somsc_check/somsc_check_summary.txt,assets/Monsefi_2014/biomass_check/biomass_check_summary.txt,assets/Monsefi_2014/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,12,14,assets/Monsefi_2014/somsc_check/somsc_timeseries_spinup.png,True,assets/Monsefi_2014/somsc_check/somsc_timeseries_exp.png,True,assets/Monsefi_2014/somsc_check/observed_vs_modeled_somsc.png,True,assets/Monsefi_2014/biomass_check/observed_vs_modeled_biomass.png,False,assets/Monsefi_2014/n2o_check/observed_vs_modeled_n2o.png,False
Nath_2022,assets/Nath_2022,assets/Nath_2022/somsc_check/somsc_check_summary.txt,assets/Nath_2022/biomass_check/biomass_check_summary.txt,assets/Nath_2022/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - Comparison CSV not found.,4,0,6,assets/Nath_2022/somsc_check/somsc_timeseries_spinup.png,True,assets/Nath_2022/somsc_check/somsc_timeseries_exp.png,True,assets/Nath_2022/somsc_check/observed_vs_modeled_somsc.png,False,assets/Nath_2022/biomass_check/observed_vs_modeled_biomass.png,False,assets/Nath_2022/n2o_check/observed_vs_modeled_n2o.png,False
