Biomass Check Summary for Site: Sankar_2014_reformatted

RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).

--- Point-wise delta (obs vs sim) ---
Rule: FAIL if simulated < observed (percent_diff < 0); PASS if simulated >= observed. Any positive gap passes (no upper limit).
Rows in comparison file (n): 168
Rows passing delta rule (sim >= obs): 155
Rows with shortfall (sim < obs): 13
Rows with zero simulated: 0
Rows with missing simulated: 0
Rows with invalid/missing observed (cannot compute %): 0

                               Observation  Observed  Simulated          Difference
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_1996'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_1997'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2001'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2005'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2006'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2007'
    [DEBUG] Checking Treatment Sch: T2
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T2_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T2
Successfully processed: 'sankar_2014_reformatted_t2_cgrain_cot_2008'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1987'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1990'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1991'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1995'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1996'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1997'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2001'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2005'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2006'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2007'
    [DEBUG] Checking Treatment Sch: T3
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T3_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T3
Successfully processed: 'sankar_2014_reformatted_t3_cgrain_cot_2008'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1987'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1990'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1991'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1995'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1996'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1997'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2001'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2005'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2006'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2007'
    [DEBUG] Checking Treatment Sch: T4
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T4_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T4
Successfully processed: 'sankar_2014_reformatted_t4_cgrain_cot_2008'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1987'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1989'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1990'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1991'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1993'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1995'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1996'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1997'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_1998'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2000'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2001'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2003'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2005'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2006'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
    [DEBUG] Found 1 data points in T5
Successfully processed: 'sankar_2014_reformatted_t5_cgrain_cot_2007'
    [DEBUG] Checking Treatment Sch: T5
    [DEBUG] Folder exists: True | Path: /Users/mac/DAYCENT/daycent_sites/sites/Sankar_2014_reformatted/Sankar_2014_reformatted_out/Sankar_2014_reformatted_T5_output
    [DEBUG] Sch file exists: True
